TOL,120122,40519,41.754868,-0.891963,11.76,314.24,300.90,734.66,27.17,930.58,22.58,48.75,53.12,-53.62,-21.25,31.81,-9.56,-4.53,-6.75,1.74,0,7,1,7.40,0,1
TOL,120123,40519,41.754868,-0.891963,11.76,314.24,300.90,730.65,26.98,931.03,22.67,33.12,51.94,-82.00,56.56,-173.69,-9.81,-6.48,-6.28,4.53,0,7,1,7.40,0,1
TOL,120124,40519,41.754868,-0.891963,11.76,314.24,300.90,728.65,26.71,931.26,22.79,351.81,67.69,-49.00,94.06,62.44,74.31,-3.96,-2.22,-0.55,0,7,1,7.40,0,1
TOL,120125,40519,41.755039,-0.896983,14.54,293.26,305.00,725.70,26.59,931.59,22.86,201.19,54.38,175.06,59.50,40.38,3.75,-0.23,1.31,2.03,0,7,1,7.39,0,1
TOL,120126,40519,41.755058,-0.897092,14.27,292.17,305.00,723.01,26.53,931.89,22.91,197.00,42.31,162.88,70.19,-127.19,9.12,0.24,1.44,3.65,0,7,1,7.39,0,1
TOL,120127,40519,41.755047,-0.897143,14.14,291.96,305.00,720.17,26.38,932.21,23.03,223.69,39.06,159.38,-48.12,-68.81,-28.69,1.12,3.35,3.29,0,7,1,7.40,0,1
TOL,120128,40519,41.754978,-0.897177,14.01,291.78,305.00,718.43,26.34,932.41,23.08,238.81,32.75,171.06,-36.19,-94.00,-48.44,1.26,3.46,5.11,0,7,1,7.41,0,1
TOL,120129,40519,41.754932,-0.897197,14.01,291.78,305.00,716.41,26.33,932.63,23.08,250.62,30.50,-177.06,-49.06,3.75,12.69,-0.94,5.30,5.69,0,7,1,7.40,0,1
TOL,120130,40519,41.754902,-0.897187,14.01,291.78,305.10,714.36,26.17,932.86,23.13,258.75,24.81,-172.50,-36.06,-39.00,-18.19,-1.15,6.31,3.86,0,7,1,7.40,0,1
TOL,120130,40519,41.754902,-0.897187,13.69,292.17,305.10,712.54,26.11,933.07,23.17,252.94,49.69,-179.50,94.94,-43.19,21.69,0.03,2.92,3.10,0,7,1,7.40,0,1
TOL,120131,40519,41.754902,-0.897240,13.69,292.17,305.10,710.53,25.98,933.29,23.24,185.19,39.88,155.94,-19.06,11.19,28.94,1.16,3.54,2.69,0,7,1,7.39,0,1
TOL,120132,40519,41.754929,-0.897345,13.69,292.17,305.10,708.59,25.90,933.51,23.28,156.38,45.19,142.50,55.00,-17.56,-33.00,3.68,2.08,1.86,0,6,1,7.39,0,1
TOL,120133,40519,41.754971,-0.897453,13.69,292.17,305.10,707.32,25.85,933.66,23.33,123.12,45.81,124.00,-8.94,-24.50,-8.25,4.44,0.46,2.90,0,6,1,7.41,0,1
TOL,120134,40519,41.755016,-0.897558,13.58,293.73,305.10,705.79,25.67,933.83,23.43,122.75,50.44,87.06,28.69,-63.62,-82.88,6.09,-2.70,1.98,0,6,1,7.40,0,1
TOL,120135,40519,41.755085,-0.897677,13.57,294.94,305.10,704.76,25.52,933.94,23.52,173.44,41.12,159.00,-113.31,71.50,82.31,1.10,5.36,1.88,0,6,1,7.39,0,1
TOL,120136,40519,41.755157,-0.897785,13.55,296.47,305.20,703.76,25.44,934.06,23.59,123.00,40.31,141.56,52.81,-86.62,-42.75,5.12,0.46,3.93,0,6,1,7.40,0,1
